iter	Passed	Remaining
880	1431	193
881	1431	191
882	1432	189
883	1433	188
884	1434	186
885	1435	184
886	1435	182
887	1436	181
888	1437	179
889	1438	177
890	1439	176
891	1440	174
892	1440	172
893	1442	171
894	1444	169
895	1445	167
896	1446	166
897	1447	164
898	1448	162
899	1448	160
900	1449	159
901	1450	157
902	1450	155
903	1451	154
904	1452	152
905	1453	150
906	1454	149
907	1455	147
908	1456	145
909	1459	144
910	1460	142
911	1461	140
912	1462	139
913	1463	137
914	1464	136
915	1464	134
916	1465	132
917	1466	131
918	1474	129
919	1475	128
920	1475	126
921	1476	124
922	1477	123
923	1478	121
924	1478	119
925	1479	118
926	1480	116
927	1481	114
928	1481	113
929	1482	111
930	1483	109
931	1484	108
932	1485	106
933	1486	105
934	1488	103
935	1489	101
936	1491	100
937	1492	98
938	1492	96
939	1493	95
940	1494	93
941	1495	92
942	1497	90
943	1498	88
944	1499	87
945	1500	85
946	1500	84
947	1502	82
948	1503	80
949	1505	79
950	1506	77
951	1507	75
952	1508	74
953	1509	72
954	1510	71
955	1511	69
956	1512	67
957	1514	66
958	1514	64
959	1517	63
960	1518	61
961	1519	60
962	1519	58
963	1520	56
964	1521	55
965	1523	53
966	1523	52
967	1524	50
968	1525	48
969	1526	47
970	1526	45
971	1527	44
972	1528	42
973	1528	40
974	1529	39
975	1531	37
976	1532	36
977	1533	34
978	1534	32
979	1534	31
980	1535	29
981	1536	28
982	1537	26
983	1537	25
984	1538	23
985	1539	21
986	1539	20
987	1540	18
988	1541	17
989	1541	15
990	1542	14
991	1543	12
992	1543	10
993	1544	9
994	1545	7
995	1547	6
996	1548	4
997	1549	3
998	1550	1
999	1551	0
